name,local_address,principle_address,type,secstaff_reg_url,latitude,longitude
CITIBANK (HONG KONG) LIMITED,"CITI TOWER, ONE BAY EAST, NO. 83 HOI BUN ROAD, KWUN TONG, KOWLOON",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100270,22.315611255626,114.214619835025
"CITIBANK, N.A.","50TH FLOOR, CHAMPION TOWER, 3 GARDEN ROAD, CENTRAL, HONG KONG.","388 GREENWICH STREET, NEW YORK, NY 10013, USA",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100008,22.2785070399635,114.16064727803
CITICORP INTERNATIONAL LIMITED,"50TH FLOOR, CHAMPION TOWER, 3 GARDEN ROAD, CENTRAL, HONG KONG.",,Restricted Licence Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=200036,22.278665394525,114.160419690848
CLEARSTREAM BANKING S.A.,"2904-7, 29/F, MAN YEE BUILDING, 68 DES VOEUX ROAD CENTRAL, HONG KONG.","42 AVENUE JF KENNEDY, L-1855 LUXEMBOURG.",Local Representative Office,,22.2834621006471,114.155894559963
CMB WING LUNG BANK LIMITED,"43-49 DES VOEUX ROAD CENTRAL, HONG KONG.",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100042,22.2835305593142,114.157027938718
COMMONWEALTH BANK OF AUSTRALIA,"SUITE 1401, ONE EXCHANGE SQUARE, 8 CONNAUGHT PLACE, CENTRAL, HONG KONG.","COMMONWEALTH BANK PLACE SOUTH, LEVEL 1, 11 HARBOUR STREET, SYDNEY NSW 2000, AUSTRALIA",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100165,22.2838934587728,114.158387182894
COÖPERATIEVE RABOBANK U.A.,"13/F, ONE PACIFIC PLACE, 88 QUEENSWAY, HONG KONG","CROESELAAN 18, 3521 CB UTRECHT, THE NETHERLANDS.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100197,22.2801668233485,114.155035606679
CORPORATE FINANCE (D.T.C.) LIMITED,"UNIT 404A, 4/F, FORTRESS TOWER, 250 KING'S ROAD, NORTH POINT, HONG KONG",,Deposit-taking Company,,22.2885943952612,114.194370764893
CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,"SUITES 2506-2515, 26-27/F & 30/F, TWO PACIFIC PLACE, 88 QUEENSWAY, HONG KONG.","12, PLACE DES ETATS UNIS - CS 70052-92547 MONTROUGE CEDEX, FRANCE",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100086,22.2773887684753,114.164464254059
CREDIT INDUSTRIEL ET COMMERCIAL,"SUITES 4306-4311, 43RD FLOOR, JARDINE HOUSE, 1 CONNAUGHT PLACE, CENTRAL, HONG KONG","6 AVENUE DE PROVENCE, 75009 PARIS, FRANCE.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100322,22.2831185941189,114.159273525224
"CTBC BANK CO., LTD.","ROOM 2106-10, 21/F AND ROOM 2801, 28/F, TWO INTERNATIONAL FINANCE CENTRE, 8 FINANCE STREET, CENTRAL, HONG KONG.","NO. 166, NO. 168, NO. 170, JINGMAO 2ND ROAD, NANGANG DISTRICT, TAIPEI, TAIWAN.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100242,22.2854403449335,114.159250394541
"DAH SING BANK, LIMITED","26/F, DAH SING FINANCIAL CENTRE, 248 QUEEN'S ROAD EAST, WAN CHAI, HONG KONG",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100006,22.2747739587797,114.173525466238
DBS BANK (HONG KONG) LIMITED,"11TH FLOOR, THE CENTER, 99 QUEEN'S ROAD CENTRAL, HONG KONG.",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100034,22.2847400596276,114.154678721063
DBS BANK LTD.,"G/F & 18/F, THE CENTER, 99 QUEEN'S ROAD CENTRAL, HONG KONG.","12 MARINA BOULEVARD, MARINA BAY FINANCIAL CENTRE TOWER 3, SINGAPORE 018982.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100199,22.2853615742596,114.154486947818
